Operating Point Analysis Results:
Quiescent Current (I_Q): 9.98 uA
Power Consumption: 17.96 uW

Detailed Node Voltages:
@m.xx1.xb2.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xb1.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xa2.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xa1.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xb50.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xa50.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xa49.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xb49.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xb30.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb29.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xa32.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa31.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xb28.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb27.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb26.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb25.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xa28.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa27.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa26.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa25.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xb24.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb23.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb22.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb21.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xa24.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa23.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa22.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa21.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xb20.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb19.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb18.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb17.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xa20.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa19.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa18.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa17.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xb16.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb15.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb14.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb13.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xa16.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa15.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa14.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa13.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xb12.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb11.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb10.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xb9.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xa12.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa11.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa10.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xa9.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xb8.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xb7.msky130_fd_pr__pfet_01v8[id]: 0.08 uA
@m.xx1.xa6.msky130_fd_pr__pfet_01v8[id]: 0.00 uA
@m.xx1.xa5.msky130_fd_pr__pfet_01v8[id]: 0.02 uA
@m.xx1.xmn10.msky130_fd_pr__nfet_01v8[id]: 2.49 uA
@m.xx1.xmn9.msky130_fd_pr__nfet_01v8[id]: 2.49 uA
@m.xx1.xmn4.msky130_fd_pr__nfet_01v8[id]: 0.32 uA
@m.xx1.xmn3.msky130_fd_pr__nfet_01v8[id]: 0.32 uA
@m.xx1.xmp12.msky130_fd_pr__pfet_01v8[id]: 2.17 uA
@m.xx1.xmp11.msky130_fd_pr__pfet_01v8[id]: 2.17 uA
@m.xx1.xmp8.msky130_fd_pr__pfet_01v8[id]: 0.32 uA
@m.xx1.xmp7.msky130_fd_pr__pfet_01v8[id]: 0.32 uA
@m.xx1.xmp6.msky130_fd_pr__pfet_01v8[id]: 0.32 uA
@m.xx1.xmp5.msky130_fd_pr__pfet_01v8[id]: 0.32 uA
@m.xx1.xmn7.msky130_fd_pr__nfet_01v8[id]: 2.50 uA
@m.xx1.xmn8.msky130_fd_pr__nfet_01v8[id]: 2.50 uA
@m.xx1.xmp10.msky130_fd_pr__pfet_01v8[id]: 2.20 uA
@m.xx1.xmp13.msky130_fd_pr__pfet_01v8[id]: 0.59 uA
@m.xx1.xmp9.msky130_fd_pr__pfet_01v8[id]: 2.20 uA
